Warehouse	Query	Time	Cost	Log Time	Log Time Bin	Time Bin	Cents	Log Cents	Log Cents Bin	Cents Bin
Redshift	query/query79.sql	12.722	0.03821580387	3.669253587	4	16	3.821580387	1.934169378	2	4
Redshift	query/query7.sql	6.904	0.02073902766	2.787432465	3	8	2.073902766	1.052348256	2	4
Redshift	query/query80.sql	111.5	0.3349364983	6.8008999	7	128	33.49364983	5.065815691	6	64
Redshift	query/query81.sql	10.066	0.03023740621	3.331418598	4	16	3.023740621	1.596334389	2	4
Redshift	query/query82.sql	6.089	0.01829083711	2.606205313	3	8	1.829083711	0.8711211042	1	2
Redshift	query/query83.sql	10.931	0.03283579249	3.450353484	4	16	3.283579249	1.715269275	2	4
Redshift	query/query84.sql	10.472	0.03145699561	3.388465097	4	16	3.145699561	1.653380889	2	4
Redshift	query/query85.sql	42.757	0.1284383844	5.418088726	6	64	12.84383844	3.683004518	4	16
Redshift	query/query86.sql	3.282	0.009858848318	1.714575239	2	4	0.9858848318	-0.02050896991	0	1
Redshift	query/query87.sql	9.089	0.02730258146	3.184121573	4	16	2.730258146	1.449037365	2	4
Redshift	query/query88.sql	23.095	0.06937541191	4.529508641	5	32	6.937541191	2.794424432	3	8
Redshift	query/query89.sql	10.193	0.03061890338	3.349506822	4	16	3.061890338	1.614422614	2	4
Redshift	query/query8.sql	13.01	0.03908093133	3.701549057	4	16	3.908093133	1.966464848	2	4
Redshift	query/query90.sql	8.716	0.02618212125	3.123666196	4	16	2.618212125	1.388581988	2	4
Redshift	query/query91.sql	12.143	0.03647653721	3.602052987	4	16	3.647653721	1.866968778	2	4
Redshift	query/query92.sql	5.885	0.0176780385	2.557042415	3	8	1.76780385	0.8219582065	1	2
Redshift	query/query93.sql	9.799	0.02943536096	3.292634528	4	16	2.943536096	1.557550319	2	4
Redshift	query/query94.sql	16.599	0.04986198148	4.053024425	5	32	4.986198148	2.317940216	3	8
Redshift	query/query95.sql	36.41	0.1093725372	5.186262836	6	64	10.93725372	3.451178627	4	16
Redshift	query/query96.sql	3.022	0.009077830474	1.595503661	2	4	0.9077830474	-0.1395805483	0	1
Redshift	query/query97.sql	19.029	0.05716149441	4.250127843	5	32	5.716149441	2.515043634	3	8
Redshift	query/query98.sql	4.837	0.01452993581	2.274112538	3	8	1.452993581	0.539028329	1	2
Redshift	query/query99.sql	4.923	0.01478827248	2.29953774	3	8	1.478827248	0.5644535308	1	2
Redshift	query/query9.sql	28.427	0.08539228554	4.829189949	5	32	8.539228554	3.094105741	4	16
BigQuery	query/query1.sql	8.14	0.004286766052	3.025028794	4	16	0.4286766052	-1.22203841	-1	0.5
BigQuery	query/query10.sql	5.572	0.03658771515	2.478195258	3	8	3.658771515	1.871359324	2	4
BigQuery	query/query11.sql	81.447	0.05128383636	6.347789655	7	128	5.128383636	2.358504189	3	8
